GBS.V4names,TAXA,GBS.V3names,LegacySNPsSimulatedPhenotypeNames,WGSnames,FAKEPHENO
Ames23471:250032473,Ames24747,Ames23471.81FE8ABXX.5.H10,NA,#N/A,1
Ames23470:250033601,Ames26745,Ames23470.81N4HABXX.6.G7,NA,#N/A,1
PI452250:250031805,PI607525,PI452250.81FE7ABXX.7.F1,NA,#N/A,1
NA,Ames27034,B164.8042MABXX.4.B7,NA,#N/A,NA
Ames27021:250032463,PI520772,Ames27021.81FE8ABXX.5.G12,NA,#N/A,1
Ames23475:250032324,NSL32718,Ames23475.81FE8ABXX.4.F12,NA,#N/A,1
CML101:250031782,PI600958,CML101.81FE7ABXX.7.D12,NA,#N/A,1
NSL65868:250034684,PI406126,NSL65868.81FENABXX.2.C3,NA,#N/A,1
Ames27024:250034749,PI601684,Ames27024.81FENABXX.2.G12,NA,#N/A,1
PI522250:250035178,Ames24748,PI522250.81FENABXX.6.A8,NA,#N/A,1
Ames24747:250032582,PI550463,Ames24747.81FE8ABXX.6.G4,NA,#N/A,1
Ames26745:250033805,Ames24717,Ames26745.81FENABXX.1.D1,NA,#N/A,1
PI607525:250035196,PI538007,PI607525.81FENABXX.6.C7,NA,#N/A,1
Ames27034:250032150,PI601776,Ames27034.81FE8ABXX.3.C9,NA,#N/A,1
PI520772:250034593,PI601790,PI520772.81FENABXX.7.E7,NA,#N/A,1
NSL32718:250032338,Ames23504,NSL32718.81FE8ABXX.4.H2,NA,#N/A,1
PI600958:250031412,PI560074,PI600958.81FE7ABXX.4.E1,NA,#N/A,1
NA,PI600959,B57.8042MABXX.3.E9,NA,#N/A,NA
NA,PI543850,CML323.8042MABXX.2.H6,NA,#N/A,NA
PI406126:250031422,NSL438021,PI406126.81FE7ABXX.4.E11,NA,#N/A,1
PI601684:250031672,PI546494,PI601684.81FE7ABXX.6.E7,NA,#N/A,1
Ames24748:250032522,Ames26801,Ames24748.81FE8ABXX.6.B11,NA,#N/A,1
PI550463:250031174,PI601005,PI550463.81FE7ABXX.2.F5,NA,#N/A,1
NA,PI601079,CO106.8042MABXX.2.A6,NA,#N/A,NA
Ames24717:250032544,PI538242,Ames24717.81FE8ABXX.6.D12,NA,#N/A,1
PI538007:250032771,PI406128,PI538007.81FE8ABXX.7.B3,NA,#N/A,1
PI601776:250032561,EP79,PI601776.81FE8ABXX.6.E7,NA,#N/A,1
PI601790:250031894,Fe,PI601790.81FE8ABXX.1.C7,NA,#N/A,1
Ames23504:250034844,Ames28927,Ames23504.81FENABXX.3.E4,NA,#N/A,1
PI560074:250031492,Ames27033,PI560074.81FE7ABXX.5.A2,NA,#N/A,1
PI600959:250032131,Ames23477,PI600959.81FE8ABXX.3.A10,NA,#N/A,1
NA,NSL246151,PI543850.D0D0BACXX.3.B4,NA,#N/A,NA
NA,PI560081,MO1W.8042MABXX.4.E12,NA,#N/A,NA
NSL438021:250031176,PI593014,NSL438021.81FE7ABXX.2.F7,NA,#N/A,1
PI546494:250032318,PI601430,PI546494.81FE8ABXX.4.F6,NA,#N/A,1
Ames26801:250033801,PI559945,Ames26801.81FENABXX.1.C9,NA,#N/A,1
PI601005:250032182,PI406127,PI601005.81FE8ABXX.3.E9,NA,#N/A,1
PI601079:250031456,PI601493,PI601079.81FE7ABXX.4.H9,NA,#N/A,1
PI538242:250033291,Ames19318,PI538242.81N4HABXX.4.C7,NA,#N/A,1
PI406128:250033833,PI600791,PI406128.81FENABXX.1.E9,NA,#N/A,1
NA,PI561515,M162W.8042MABXX.4.G4,NA,#N/A,NA
NA,PI601211,NC264.8042MABXX.3.D10,NA,#N/A,NA
NA,PI601469,EP79.633Y5AAXX.5.D4,NA,#N/A,NA
P39:250032302,PI596357,P39.8042MABXX.4.C5,NA,#N/A,1
Fe:250032917,PI538231,Fe.81N4HABXX.1.D2,NA,#N/A,1
Ames28927:250033143,PI600944,Ames28927.81N4HABXX.3.A2,NA,#N/A,1
Ames27033:250034614,Ames23490,Ames27033.81FENABXX.7.G4,NA,#N/A,1
Ames23477:250034957,PI594045,Ames23477.81FENABXX.4.D12,NA,#N/A,1
NA,PI651545,NSL246151.D0D0BACXX.4.G12,NA,#N/A,NA
PI560081:250033791,Ames23473,PI560081.81FENABXX.1.B10,NA,#N/A,1
NA,PI540312,NC296.8042MABXX.3.F7,NA,#N/A,NA
PI593014:250032852,Ames26812,PI593014.81FE8ABXX.7.H8,NA,#N/A,1
PI601430:250032133,PI644102,PI601430.81FE8ABXX.3.A12,NA,#N/A,1
NA,Ames26757,PI559945.D0D0BACXX.3.H12,NA,#N/A,NA
PI406127:250034624,PI601026,PI406127.81FENABXX.7.H2,NA,#N/A,1
PI601493:250035129,PI600955,PI601493.81FENABXX.5.G11,NA,#N/A,1
Ames19318:250031436,NSL438036,Ames19318.81FE7ABXX.4.G1,NA,#N/A,1
NA,PI608806,H95.8042MABXX.2.D12,NA,#N/A,NA
NA,PI559917,NC294.8042MABXX.3.E5,NA,#N/A,NA
PI600791:250033467,PI596499,PI600791.81N4HABXX.5.F12,NA,#N/A,1
PI561515:250033318,PI601611,PI561515.81N4HABXX.4.E2,NA,#N/A,1
PI601211:250033651,PI546483,PI601211.81N4HABXX.7.A2,NA,#N/A,1
PI601469:250031184,PI560075,PI601469.81FE7ABXX.2.G3,NA,#N/A,1
NA,NSL438034,Oh603.8042MABXX.2.D7,NA,#N/A,NA
PI596357:250034671,PI601375,PI596357.81FENABXX.2.A10,NA,#N/A,1
PI538231:250035201,Ames23467,PI538231.81FENABXX.6.C12,NA,#N/A,1
PI600944:250032906,EZ25,PI600944.81N4HABXX.1.C3,NA,#N/A,1
Ames23490:250032413,PI550556,Ames23490.81FE8ABXX.5.D8,NA,#N/A,1
PI594045:250034759,Ames27018,PI594045.81FENABXX.2.H10,NA,#N/A,1
NA,NSL29304,PI651545.D0D0BACXX.3.A10,NA,#N/A,NA
Ames23473:250034738,Ames26747,Ames23473.81FENABXX.2.G1,NA,#N/A,1
PI540312:250031074,PI554615,PI540312.81FE7ABXX.1.H8,NA,#N/A,1
Ames26812:250032951,NSL30865,Ames26812.81N4HABXX.1.F4,NA,#N/A,1
PI644102:250032527,PI601573,PI644102.81FE8ABXX.6.C5,NA,#N/A,1
Ames26757:250033725,PI539930,Ames26757.81N4HABXX.7.G4,NA,#N/A,1
PI601026:250032197,PI548804,PI601026.81FE8ABXX.3.F12,NA,#N/A,1
PI600955:250031416,Ames26797,PI600955.81FE7ABXX.4.E5,NA,#N/A,1
NSL438036:250031071,Ames26799,NSL438036.81FE7ABXX.1.H5,NA,#N/A,1
PI608806:250031838,Ames22753,PI608806.81FE7ABXX.7.H10,NA,#N/A,1
NA,PI559935,PI559917.D0D0BACXX.3.D6,NA,#N/A,NA
PI596499:250031409,PI601416,PI596499.81FE7ABXX.4.C1,NA,#N/A,1
PI601611:250032552,PI550514,PI601611.81FE8ABXX.6.C1,NA,#N/A,1
NA,Ames28413,N28Ht.8042MABXX.4.C10,NA,#N/A,NA
NA,Ames28414,PI546483.D0D0BACXX.3.E8,NA,#N/A,NA
PI560075:250033668,PI601683,PI560075.81N4HABXX.7.C3,NA,#N/A,1
NSL438034:250034958,PI593008,NSL438034.81FENABXX.4.A4,NA,#N/A,1
PI601375:250031906,PI601316,PI601375.81FE8ABXX.1.D9,NA,#N/A,1
Ames23467:250032581,EP80,Ames23467.81FE8ABXX.6.G3,NA,#N/A,1
NA,Ames23466,EZ25.633Y5AAXX.5.A6,NA,#N/A,NA
PI550556:250035005,Ames23495,PI550556.81FENABXX.4.H2,NA,#N/A,1
Ames27018:250033460,NSL30910,Ames27018.81N4HABXX.5.F5,NA,#N/A,1
NSL29304:250031681,NSL29287,NSL29304.81FE7ABXX.6.F4,NA,#N/A,1
NA,PI543849,H84.8042MABXX.4.E6,NA,#N/A,NA
Ames26747:250031650,Ames19310,Ames26747.81FE7ABXX.6.D7,NA,#N/A,1
NA,PI601159,PI554615.D0D0BACXX.3.F5,NA,#N/A,NA
NA,PI537099,I137TN.8042MABXX.2.H10,NA,#N/A,NA
NSL30865:250034744,NSL29305,NSL30865.81FENABXX.2.G7,NA,#N/A,1
PI601573:250035223,Ames26760,PI601573.81FENABXX.6.E2,NA,#N/A,1
PI539930:250034733,PI559382,PI539930.81FENABXX.2.F8,NA,#N/A,1
NA,Ames26756,PI548804.D0D0BACXX.3.H3,NA,#N/A,NA
Ames26797:250031511,PI406123,Ames26797.81FE7ABXX.5.C5,NA,#N/A,1
Ames26799:250031549,Ames26129,Ames26799.81FE7ABXX.5.E11,NA,#N/A,1
NA,PI601558,B77.8042MABXX.2.F10,NA,#N/A,NA
Ames22753:250031531,PI538010,Ames22753.81FE7ABXX.5.A7,NA,#N/A,1
NA,CIze42,PI559935.D0D0BACXX.3.B7,NA,#N/A,NA
PI601416:250033654,PI601584,PI601416.81N4HABXX.7.A8,NA,#N/A,1
NA,EZ2,PI550514.D0D0BACXX.4.A1,NA,#N/A,NA
Ames28413:250033838,PI559383,Ames28413.81FENABXX.1.F2,NA,#N/A,1
Ames28414:250031068,PI550464,Ames28414.81FE7ABXX.1.H2,NA,#N/A,1
PI601683:250034690,PI559916,PI601683.81FENABXX.2.C9,NA,#N/A,1
PI593008:250032769,VEN_981a,PI593008.81FE8ABXX.7.B1,NA,#N/A,1
PI601316:250031658,Ames26781,PI601316.81FE7ABXX.6.A7,NA,#N/A,1
NA,Ames26785,EP80.633Y5AAXX.5.E4,NA,#N/A,NA
Ames23466:250032558,PI601301,Ames23466.81FE8ABXX.6.E4,NA,#N/A,1
B73:250031005,PI584528,B73.8042MABXX.4.A3,NA,#N/A,1
Ames23495:250034605,NSL30911,Ames23495.81FENABXX.7.F7,NA,#N/A,1
NSL30910:250031586,PI559954,NSL30910.81FE7ABXX.5.H12,NA,#N/A,1
NSL29287:250031620,MP420,NSL29287.81FE7ABXX.6.A3,NA,#N/A,1
NA,CIze317,PI543849.D0D0BACXX.3.B10,NA,#N/A,NA
NA,NSL437998,Pa875.8042MABXX.2.C10,NA,#N/A,NA
Ames19310:250032515,PI601378,Ames19310.81FE8ABXX.6.B1,NA,#N/A,1
PI601159:250031264,PI539925,PI601159.81FE7ABXX.3.C12,NA,#N/A,1
PI537099:250031441,NSL437994,PI537099.81FE7ABXX.4.G6,NA,#N/A,1
NSL29305:250031496,PI608768,NSL29305.81FE7ABXX.5.A10,NA,#N/A,1
Ames26760:250033537,Ames23468,Ames26760.81N4HABXX.6.B10,NA,#N/A,1
NA,PI601781,PI559382.D0D0BACXX.3.H10,NA,#N/A,NA
Ames26756:250031933,PI601492,Ames26756.81FE8ABXX.1.F2,NA,#N/A,1
PI406123:250031284,Ames23488,PI406123.81FE7ABXX.3.D6,NA,#N/A,1
Ames26129:250031037,PI648430,Ames26129.81FE7ABXX.1.E7,NA,#N/A,1
NA,Ames23507,Va99.8042MABXX.2.A11,NA,#N/A,NA
PI601558:250034836,PI603939,PI601558.81FENABXX.3.B6,NA,#N/A,1
NA,NSL437993,PI538010.D0D0BACXX.3.A7,NA,#N/A,NA
NA,NSL67799,B52.8042MABXX.3.H5,NA,#N/A,NA
CIze42:250034938,Ames28422,CIze42.81FENABXX.4.C3,NA,#N/A,1
PI601584:250032547,Ames28361,PI601584.81FE8ABXX.6.A7,NA,#N/A,1
NA,PI648429,EZ2.633Y5AAXX.5.E5,NA,#N/A,NA
NA,Ames26782,PI559383.D0D0BACXX.3.F7,NA,#N/A,NA
PI550464:250031678,PI648432,PI550464.81FE7ABXX.6.F1,NA,#N/A,1
NA,Ames26786,PI559916.D0D0BACXX.3.G8,NA,#N/A,NA
NA,PI594081,R229.8042MABXX.3.B6,NA,#N/A,NA
NA,PI648428,VEN_981a.1.81FE7ABXX.7.H11,NA,#N/A,NA
Ames26781:250034873,NSL437996,Ames26781.81FENABXX.3.G9,NA,#N/A,1
Ames26785:250033820,NSL81597,Ames26785.81FENABXX.1.B6,NA,#N/A,1
PI601301:250031364,PI550534,PI601301.81FE7ABXX.4.A1,NA,#N/A,1
PI584528:250031647,PI601567,PI584528.81FE7ABXX.6.D2,NA,#N/A,1
NSL30911:250033787,PI550546,NSL30911.81FENABXX.1.B3,NA,#N/A,1
NA,PI539926,Va22.8042MABXX.2.B12,NA,#N/A,NA
NA,PI559952,PI559954.D0D0BACXX.3.A7,NA,#N/A,NA
NA,Ames27194,Pa762.8042MABXX.4.F8,NA,#N/A,NA
MP420:250032889,PI558516,MP420.81N4HABXX.1.A2,NA,#N/A,1
CIze317:250031175,CML79,CIze317.81FE7ABXX.2.F6,NA,#N/A,1
NSL437998:250034983,PI538239,NSL437998.81FENABXX.4.F4,NA,#N/A,1
PI601378:250031566,NSL437990,PI601378.81FE7ABXX.5.G4,NA,#N/A,1
NA,PI601402,Yu796_NS.8042MABXX.4.H3,NA,#N/A,NA
NA,PI406124,PI539925.D0D0BACXX.3.A8,NA,#N/A,NA
NSL437994:250034874,PI601494,NSL437994.81FENABXX.3.G10,NA,#N/A,1
PI608768:250034848,Ames25372,PI608768.81FENABXX.3.E8,NA,#N/A,1
NA,Ames23487,CML10.8042MABXX.4.G7,NA,#N/A,NA
Ames23468:250032510,PI631394,Ames23468.81FE8ABXX.6.A6,NA,#N/A,1
PI601781:250031939,PI511310,PI601781.81FE8ABXX.1.F8,NA,#N/A,1
PI601492:250032460,PI651532,PI601492.81FE8ABXX.5.G9,NA,#N/A,1
Ames23488:250032572,PI601037,Ames23488.81FE8ABXX.6.F6,NA,#N/A,1
PI648430:250031683,PI594077,PI648430.81FE7ABXX.6.F6,NA,#N/A,1
Ames23507:250033709,NSL437989,Ames23507.81N4HABXX.7.E12,NA,#N/A,1
PI603939:250031253,Ames23505,PI603939.81FE7ABXX.3.B12,NA,#N/A,1
NA,PI547107,B46.8042MABXX.4.C11,NA,#N/A,NA
NSL437993:250034955,PI535913,NSL437993.81FENABXX.4.D10,NA,#N/A,1
NSL67799:250031112,Ames23494,NSL67799.81FE7ABXX.2.A3,NA,#N/A,1
Ames28422:250034799,PI633924,Ames28422.81FENABXX.3.A11,NA,#N/A,1
Ames28361:250031072,NSL437995,Ames28361.81FE7ABXX.1.H6,NA,#N/A,1
PI648429:250033862,NSL30890,PI648429.81FENABXX.1.H2,NA,#N/A,1
NA,PI547089,N192.8042MABXX.4.D11,NA,#N/A,NA
Ames26782:250031073,NSL34374,Ames26782.81FE7ABXX.1.H7,NA,#N/A,1
NA,PI550530,B10.8042MABXX.2.G9,NA,#N/A,NA
PI648432:250034694,PI600954,PI648432.81FENABXX.2.D1,NA,#N/A,1
Ames26786:250031382,NSL29314,Ames26786.81FE7ABXX.4.C3,NA,#N/A,1
PI594081:250032599,Ames26788,PI594081.81FE8ABXX.6.H9,NA,#N/A,1
PI648428:250033674,Ames27219,PI648428.81N4HABXX.7.C9,NA,#N/A,1
NSL437996:250034948,NSL437931,NSL437996.81FENABXX.4.D1,NA,#N/A,1
NSL81597:250032565,Ames26784,NSL81597.81FE8ABXX.6.E11,NA,#N/A,1
PI550534:250033287,PI538011,PI550534.81N4HABXX.4.C3,NA,#N/A,1
PI601567:250031452,Ames27150,PI601567.81FE7ABXX.4.H5,NA,#N/A,1
PI550546:250033196,Ames27217,PI550546.81N4HABXX.3.E7,NA,#N/A,1
PI539926:250033572,PI648427,PI539926.81N4HABXX.6.E2,NA,#N/A,1
NA,Ames23408,Mo45.8042MABXX.4.G11,NA,#N/A,NA
NA,NSL32733,PI559952.D0D0BACXX.3.F2,NA,#N/A,NA
Ames27194:250032569,NSL29285,Ames27194.81FE8ABXX.6.F3,NA,#N/A,1
PI558516:250032914,NSL30072,PI558516.81N4HABXX.1.C11,NA,#N/A,1
CML79:250033057,NSL67789,CML79.81N4HABXX.2.B5,NA,#N/A,1
PI538239:250034884,PI559381,PI538239.81FENABXX.3.H8,NA,#N/A,1
NSL437990:250035118,Ames25177,NSL437990.81FENABXX.5.F12,NA,#N/A,1
PI601402:250031318,PI538009,PI601402.81FE7ABXX.3.G10,NA,#N/A,1
PI406124:250033103,PI559949,PI406124.81N4HABXX.2.H5,NA,#N/A,1
PI601494:250033535,NSL437992,PI601494.81N4HABXX.6.B8,NA,#N/A,1
NA,PI601442,NC336.8042MABXX.3.E7,NA,#N/A,NA
NA,PI601080,B75.8042MABXX.4.D3,NA,#N/A,NA
Ames25372:250034986,PI559946,Ames25372.81FENABXX.4.F7,NA,#N/A,1
NA,NSL437914,Ames23487.D0D0BACXX.3.F3,NA,#N/A,NA
PI631394:250032272,NSL437915,PI631394.81FE8ABXX.4.C4,NA,#N/A,1
PI511310:250031269,Ames24719,PI511310.81FE7ABXX.3.D7,NA,#N/A,1
NA,Ames22755,PI651532.D0D0BACXX.3.D10,NA,#N/A,NA
PI601037:250031660,Ames23500,PI601037.81FE7ABXX.6.B5,NA,#N/A,1
PI594077:250031893,Ames27157,PI594077.81FE8ABXX.1.C6,NA,#N/A,1
NSL437989:250035072,Ames19285,NSL437989.81FENABXX.5.C10,NA,#N/A,1
Ames23505:250032596,Ames27020,Ames23505.81FE8ABXX.6.H6,NA,#N/A,1
NA,PI601729,PI547107.D0D0BACXX.3.H2,NA,#N/A,NA
PI535913:250035179,PI533659,PI535913.81FENABXX.6.A10,NA,#N/A,1
Ames23494:250034838,NSL437897,Ames23494.81FENABXX.3.C1,NA,#N/A,1
NA,PI601783,NC258.8042MABXX.4.B12,NA,#N/A,NA
PI633924:250032916,Ames23451,PI633924.81N4HABXX.1.D1,NA,#N/A,1
NSL437995:250034935,NSL30875,NSL437995.81FENABXX.4.B11,NA,#N/A,1
NSL30890:250033678,Ames12823,NSL30890.81N4HABXX.7.D1,NA,#N/A,1
NA,PI601773,PI547089.D0D0BACXX.3.H5,NA,#N/A,NA
NSL34374:250034617,Ames22749,NSL34374.81FENABXX.7.G7,NA,#N/A,1
PI550530:250032303,PI257508,PI550530.81FE8ABXX.4.E3,NA,#N/A,1
PI600954:250033455,PI601208,PI600954.81N4HABXX.5.E12,NA,#N/A,1
NSL29314:250033848,PI608764,NSL29314.81FENABXX.1.F12,NA,#N/A,1
Ames26788:250031403,PI550526,Ames26788.81FE7ABXX.4.A5,NA,#N/A,1
NA,PI601321,Ames27219.D0D0BACXX.3.B7,NA,#N/A,NA
NSL437931:250035094,Ames28424,NSL437931.81FENABXX.5.D6,NA,#N/A,1
Ames26784:250031694,PI547090,Ames26784.81FE7ABXX.6.G5,NA,#N/A,1
PI538011:250031414,PI511311,PI538011.81FE7ABXX.4.E3,NA,#N/A,1
Ames27150:250031126,Ames23484,Ames27150.81FE7ABXX.2.B12,NA,#N/A,1
NA,PI601440,Ames27217.D0D0BACXX.3.C11,NA,#N/A,NA
PI648427:250031390,PI550531,PI648427.81FE7ABXX.4.C11,NA,#N/A,1
Ames23408:250034827,PI546484,Ames23408.81FENABXX.3.D9,NA,#N/A,1
NA,PI594082,HP301.8042MABXX.4.C9,NA,#N/A,NA
NSL32733:250034589,Ames27040,NSL32733.81FENABXX.7.E3,NA,#N/A,1
NSL29285:250034704,Ames27206,NSL29285.81FENABXX.2.A4,NA,#N/A,1
NA,PI538236,B73Htrhm.8042MABXX.2.E1,NA,#N/A,NA
NSL30072:250033233,Ames19321,NSL30072.81N4HABXX.3.H8,NA,#N/A,1
NSL67789:250034809,Ames28423,NSL67789.81FENABXX.3.B12,NA,#N/A,1
NA,PI601779,PI559381.D0D0BACXX.3.F6,NA,#N/A,NA
Ames25177:250033485,Ames19290,Ames25177.81N4HABXX.5.H6,NA,#N/A,1
PI538009:250033869,Ames12819,PI538009.81FENABXX.1.H9,NA,#N/A,1
NA,NSL437908,PI559949.D0D0BACXX.3.A5,NA,#N/A,NA
NSL437992:250035203,PI594078,NSL437992.81FENABXX.6.D2,NA,#N/A,1
PI601442:250034937,Ames23483,PI601442.81FENABXX.4.C2,NA,#N/A,1
NA,PI511313,CI66.8042MABXX.2.G8,NA,#N/A,NA
PI601080:250033851,PI583846,PI601080.81FENABXX.1.G3,NA,#N/A,1
NA,Ames27203,PI559946.D0D0BACXX.3.C1,NA,#N/A,NA
NSL437914:250030984,PI539927,NSL437914.81FE7ABXX.1.A2,NA,#N/A,1
NSL437915:250035048,Ames26806,NSL437915.81FENABXX.5.A2,NA,#N/A,1
Ames24719:250032587,PI594056,Ames24719.81FE8ABXX.6.G9,NA,#N/A,1
Ames22755:250034615,PI596354,Ames22755.81FENABXX.7.G5,NA,#N/A,1
Ames23500:250032457,Ames27162,Ames23500.81FE8ABXX.5.G6,NA,#N/A,1
Ames27157:250032899,PI535900,Ames27157.81N4HABXX.1.B4,NA,#N/A,1
Ames19285:250032911,NSL65872,Ames19285.81N4HABXX.1.C8,NA,#N/A,1
Ames27020:250032550,CIze44,Ames27020.81FE8ABXX.6.B6,NA,#N/A,1
PI601729:250033706,Ames27213,PI601729.81N4HABXX.7.E9,NA,#N/A,1
PI533659:250033273,PI391670,PI533659.81N4HABXX.4.A8,NA,#N/A,1
NSL437897:250031177,PI594058,NSL437897.81FE7ABXX.2.F8,NA,#N/A,1
PI601783:250031695,EZ34,PI601783.81FE7ABXX.6.G6,NA,#N/A,1
Ames23451:250034815,Ames23422,Ames23451.81FENABXX.3.C7,NA,#N/A,1
NSL30875:250031519,Ames24720,NSL30875.81FE7ABXX.5.D1,NA,#N/A,1
Ames12823:250033553,PI594055,Ames12823.81N4HABXX.6.D3,NA,#N/A,1
PI601773:250031508,PI659680,PI601773.81FE7ABXX.5.C2,NA,#N/A,1
Ames22749:250033672,PI601438,Ames22749.81N4HABXX.7.C7,NA,#N/A,1
PI257508:250032130,Ames24716,PI257508.81FE8ABXX.3.A8,NA,#N/A,1
PI601208:250032429,NSL29284,PI601208.81FE8ABXX.5.E2,NA,#N/A,1
PI608764:250034944,PI550442,PI608764.81FENABXX.4.C9,NA,#N/A,1
PI550526:250035133,Ames28362,PI550526.81FENABXX.5.H3,NA,#N/A,1
PI601321:250032397,PI601404,PI601321.81FE8ABXX.5.C2,NA,#N/A,1
Ames28424:250035001,PI550456,Ames28424.81FENABXX.4.G10,NA,#N/A,1
NA,PI601209,PI547090.D0D0BACXX.3.E12,NA,#N/A,NA
NA,PI531509,NC328.8042MABXX.2.D2,NA,#N/A,NA
PI511311:250034705,PI594079,PI511311.81FENABXX.2.A5,NA,#N/A,1
Ames23484:250032571,PI594060,Ames23484.81FE8ABXX.6.F5,NA,#N/A,1
PI601440:250033864,Ames28952,PI601440.81FENABXX.1.H4,NA,#N/A,1
PI550531:250035181,Ames26749,PI550531.81FENABXX.6.A12,NA,#N/A,1
NA,PI553058,PI546484.D0D0BACXX.3.G2,NA,#N/A,NA
PI594082:250033540,Ames23486,PI594082.81N4HABXX.6.C2,NA,#N/A,1
Ames27040:250032261,PI543847,Ames27040.81FE8ABXX.4.B1,NA,#N/A,1
NA,NSL30054,Ames27206.D0D0BACXX.3.B3,NA,#N/A,NA
PI538236:250034837,Ames2328,PI538236.81FENABXX.3.B7,NA,#N/A,1
Ames19321:250031444,NSL32734,Ames19321.81FE7ABXX.4.G9,NA,#N/A,1
Ames28423:250031111,PI601575,Ames28423.81FE7ABXX.2.A2,NA,#N/A,1
PI601779:250031439,PI595367,PI601779.81FE7ABXX.4.G4,NA,#N/A,1
Ames19290:250033595,PI601008,Ames19290.81N4HABXX.6.G1,NA,#N/A,1
Ames12819:250031873,PI601559,Ames12819.81FE8ABXX.1.A2,NA,#N/A,1
NSL437908:250035219,Ames12816,NSL437908.81FENABXX.6.C1,NA,#N/A,1
PI594078:250031940,PI406119,PI594078.81FE8ABXX.1.F9,NA,#N/A,1
NA,PI596356,CI28A.8042MABXX.2.C4,NA,#N/A,NA
NA,PI594080,Oh43E.8042MABXX.2.E7,NA,#N/A,NA
Ames23483:250032532,PI601376,Ames23483.81FE8ABXX.6.C10,NA,#N/A,1
PI511313:250031752,PI550900,PI511313.81FE7ABXX.7.A12,NA,#N/A,1
PI583846:250035070,PI601439,PI583846.81FENABXX.5.C8,NA,#N/A,1
NA,PI531082,Ames27203.D0D0BACXX.3.H3,NA,#N/A,NA
PI539927:250031434,PI594062,PI539927.81FE7ABXX.4.F11,NA,#N/A,1
Ames26806:250031307,Ames23449,Ames26806.81FE7ABXX.3.F11,NA,#N/A,1
PI594056:250031928,Ames23476,PI594056.81FE8ABXX.1.E9,NA,#N/A,1
PI596354:250033212,PI601317,PI596354.81N4HABXX.3.F11,NA,#N/A,1
Ames27162:250032909,PI651541,Ames27162.81N4HABXX.1.C6,NA,#N/A,1
PI535900:250032206,PI594053,PI535900.81FE8ABXX.3.G9,NA,#N/A,1
NSL65872:250035078,PI553054,NSL65872.81FENABXX.5.D5,NA,#N/A,1
NA,PI406115,DE_2.8042MABXX.2.A1,NA,#N/A,NA
CIze44:250031056,NSL15405,CIze44.81FE7ABXX.2.C9,NA,#N/A,1
NA,Ames28291,Ames27213.D0D0BACXX.3.F4,NA,#N/A,NA
PI391670:250034835,PI554616,PI391670.81FENABXX.3.B5,NA,#N/A,1
PI594058:250033045,PI594051,PI594058.81N4HABXX.2.D3,NA,#N/A,1
NA,Ames27204,EZ34.633Y5AAXX.5.G6,NA,#N/A,NA
Ames23422:250032410,Ames24728,Ames23422.81FE8ABXX.5.D3,NA,#N/A,1
Ames24720:250032290,CH701,Ames24720.81FE8ABXX.4.D12,NA,#N/A,1
PI594055:250031959,PI607523,PI594055.81FE8ABXX.1.H4,NA,#N/A,1
NA,Ames24705,PI659680.D0D0BACXX.3.F12,NA,#N/A,NA
PI601438:250033530,PI601612,PI601438.81N4HABXX.6.A12,NA,#N/A,1
Ames24716:250032388,PI601362,Ames24716.81FE8ABXX.5.B1,NA,#N/A,1
NSL29284:250031260,NSL32730,NSL29284.81FE7ABXX.3.C8,NA,#N/A,1
PI550442:250032831,PI639504,PI550442.81FE8ABXX.7.F11,NA,#N/A,1
Ames28362:250031286,PI548800,Ames28362.81FE7ABXX.3.E2,NA,#N/A,1
NA,PI539859,CO125.8042MABXX.2.G7,NA,#N/A,NA
PI601404:250032892,Ames26766,PI601404.81N4HABXX.1.A8,NA,#N/A,1
NA,EZ1,PI550456.D0D0BACXX.3.A4,NA,#N/A,NA
PI601209:250031398,Ames26773,PI601209.81FE7ABXX.4.D9,NA,#N/A,1
PI531509:250033653,PI594087,PI531509.81N4HABXX.7.A6,NA,#N/A,1
PI594079:250032321,NSL30868,PI594079.81FE8ABXX.4.F9,NA,#N/A,1
PI594060:250032924,PI548788,PI594060.81N4HABXX.1.D11,NA,#N/A,1
NA,PI550462,MS71.8042MABXX.3.E3,NA,#N/A,NA
Ames28952:250034989,PI548802,Ames28952.81FENABXX.4.F10,NA,#N/A,1
Ames26749:250031315,NSL28968,Ames26749.81FE7ABXX.3.G7,NA,#N/A,1
PI553058:250031569,Ames12821,PI553058.81FE7ABXX.5.G7,NA,#N/A,1
Ames23486:250034692,PI594052,Ames23486.81FENABXX.2.C11,NA,#N/A,1
NA,PI547088,PI543847.D0D0BACXX.3.D11,NA,#N/A,NA
NSL30054:250034865,Ames26798,NSL30054.81FENABXX.3.G1,NA,#N/A,1
Ames2328:250031527,PI544065,Ames2328.81FE7ABXX.5.D11,NA,#N/A,1
NSL32734:250032159,PI601787,NSL32734.81FE8ABXX.3.D8,NA,#N/A,1
PI601575:250035073,NSL30046,PI601575.81FENABXX.5.C11,NA,#N/A,1
PI595367:250034616,Ames27019,PI595367.81FENABXX.7.G6,NA,#N/A,1
PI601008:250033837,Ames23502,PI601008.81FENABXX.1.F1,NA,#N/A,1
NA,Ames27049,Wf9.8042MABXX.4.B6,NA,#N/A,NA
NA,EP57,Sg1533.8042MABXX.4.B10,NA,#N/A,NA
NA,Ames26802,B115.8042MABXX.3.F4,NA,#N/A,NA
