GBS.V4names,TAXA,GBS.V3names,LegacySNPsSimulatedPhenotypeNames,WGSnames,FAKEPHENO
CML103:250040012,CML103,CML103:8042MABXX:3:E2,CML103,282set_CML103,1
CML108:250040154,CML108,CML108:8042MABXX:4:D4,CML108,282set_CML108,1
CML11:250040005,CML11,CML11:8042MABXX:3:F1,CML11,282set_CML11,1
CML14:250039770,CML14,CML14:8042MABXX:2:A4,CML14,282set_CML14,1
CML154Q:250040190,CML154Q,CML154Q:8042MABXX:4:H8,CML154Q,282set_CML154Q,1
CML157Q:250039833,CML157Q,CML157Q:8042MABXX:2:H11,CML157Q,282set_CML157Q,1
CML158Q:250040066,CML158Q,CML158Q:8042MABXX:3:C9,CML158Q,282set_CML158Q,1
CML218:250040138,CML218,CML218:8042MABXX:4:D2,CML218,282set_CML218,1
CML220:250039810,CML220,CML220:8042MABXX:2:A9,CML220,282set_CML220,1
CML228:250039759,CML228,CML228:8042MABXX:2:F2,CML228,282set_CML228,1
CML238:250039817,CML238,CML238:8042MABXX:2:H9,CML238,282set_CML238,1
CML247:250040212,CML247,CML247:8042MABXX:4:F11,CML247,282set_CML247,1
CML254:250040087,CML254,CML254:8042MABXX:3:H11,CML254,282set_CML254,1
CML258:250039787,CML258,CML258:8042MABXX:2:B6,CML258,282set_CML258,1
CML261:250040170,CML261,CML261:8042MABXX:4:D6,CML261,282set_CML261,1
CML264:250040021,CML264,CML264:8042MABXX:3:F3,CML264,282set_CML264,1
CML277:250039791,CML277,CML277:8042MABXX:2:F6,CML277,282set_CML277,1
CML281:250039753,CML281,CML281:8042MABXX:2:H1,CML281,282set_CML281,1
CML287:250039766,CML287,CML287:8042MABXX:2:E3,CML287,282set_CML287,1
CML311:250039839,CML311,CML311:8042MABXX:2:F12,CML311,282set_CML311,1
CML314:250040006,CML314,CML314:8042MABXX:3:G1,CML314,282set_CML314,1
CML321:250040080,CML321,CML321:8042MABXX:3:A11,CML321,282set_CML321,1
