taxa,GBSv4names,WGStaxa,GDDDaystoSilk,GDDDaystoTassel,TasselLength,MainSpikeLength,TasselPrimaryBranches,TasselBranchLength,SpikeletsMainSpike,SpikeletsPrimaryBranch,SecondaryBranchNumber,EarHeight,LeafLength,LeafWidth,UpperLeafAngle,MiddleLeafAngle,CobDiameter,CobWeight,EarDiameter,EarLength,SeedSetLength,EarRowNumber,EarWeight,EarRankNumber,KernelWeight20
Z002E0188,#N/A,#N/A,463.2941085,915.9317894,10.57757413,306.4238387,5.319133358,0.137583105,0.304304528,0.157149724,168.5856856,145.8098215,84.93086409,623.7375696,0.854598016,-0.119713104,62.5280864,9.687259286,0.170267353,20.79020415,-0.503847478,30.32210257,107.5761982,80.78531237,-0.513428387
Z002E0189,#N/A,#N/A,458.2264594,944.3959965,7.092751362,327.7588543,5.562511012,-0.507088876,-1.568908663,-0.981280606,172.225879,139.2017016,73.27345251,610.0139059,0.654153096,-0.329123267,61.22621192,10.0510288,0.177656933,22.96419211,0.841475098,34.83895968,125.8720119,88.81100805,1.67128433
Z002E0190,#N/A,#N/A,449.1917168,913.9046442,6.868503234,327.4844825,5.547102382,-0.830599007,-0.480800156,-0.829406923,172.5600962,129.6196565,76.77187441,698.1179318,-0.000527804,0.222158544,63.05867723,10.00540563,0.168906446,22.30315855,-0.340974958,31.09177583,141.5884731,93.03122417,-0.058628048
Z002E0191,#N/A,#N/A,445.8794129,915.0209468,7.622889258,303.8391179,5.275256324,0.155391856,-0.2785569,-0.342230112,179.9128747,154.83155,89.666434,689.3799532,0.285120359,-0.073536856,60.87094996,10.57226396,0.171232971,23.21215578,0.45618728,32.48265225,133.8727816,85.84412734,1.022083226
Z002E0192,#N/A,#N/A,433.4625771,873.1105279,2.947549777,316.2767358,5.477172851,-0.935906406,-0.961107637,-1.018484916,172.3447356,158.5758518,93.16386153,728.8303455,0.642024255,0.485192392,62.1513781,9.96371834,0.166279731,21.80109355,-0.206583598,29.90788245,128.7867714,88.59730008,-0.17868684
Z002E0193,#N/A,#N/A,460.0193832,921.5355276,9.2637389,322.6094827,5.437450013,0.229280551,0.16650856,0.669509,162.1653104,117.7705244,67.54781895,514.5011324,0.414853563,-0.173347215,62.50834558,10.04727959,0.170376849,22.41585524,-0.351859462,31.18888572,100.5430024,71.7465452,0.806547199
Z002E0194,#N/A,#N/A,447.9296915,944.4206149,-1.311325898,300.0871128,5.301659988,0.875737023,0.478078081,0.094960092,160.2969431,149.0955019,99.8231063,675.9918071,-0.103784922,-0.166023401,62.78167531,9.759181256,0.170143996,21.76358416,-0.594089209,30.48243947,108.3158081,79.33855755,0.189058661
Z002E0195,#N/A,#N/A,467.9195225,941.6506535,26.45804756,402.9914639,5.797131987,-1.365937357,-1.22344063,-1.433811116,176.2098812,140.4010547,76.81220306,690.7592433,-0.716331551,-0.023465756,60.78055172,10.73700901,0.168444544,22.33973052,0.083477805,32.06300764,127.3616244,82.07196512,-0.016574689
Z002E0196,#N/A,#N/A,438.7105637,865.8270683,7.660782881,382.744774,5.656241382,-0.1487413,-0.506889359,-0.116688661,187.2449011,156.3256758,87.38355483,654.1660371,-0.465729901,-0.091904004,59.39216896,10.42811527,0.16895782,22.59077029,0.852263463,35.97678356,149.8439889,93.03507902,-0.023720885
Z002E0197,#N/A,#N/A,459.6382756,912.9615832,11.33287476,326.9142254,5.279166892,0.060492254,0.020928752,-0.025087262,169.7895059,145.4720888,85.48011757,661.4746665,-0.159206582,-0.238005862,61.75930533,9.215227247,0.177764309,20.45909418,-0.588076947,28.17429096,107.3076304,81.02527414,-0.341117009
Z002E0198,#N/A,#N/A,442.6532763,903.7998906,13.47236221,300.9724405,5.361558297,-0.692889859,-0.449340897,-0.850940509,156.6847789,145.0096636,85.19222453,722.396598,-0.424492126,-0.100391263,61.29526827,9.330537981,0.170753433,23.47853863,0.056738374,32.49071763,117.9991564,84.11031634,1.13391019
Z002E0199,#N/A,#N/A,445.0505472,891.7606375,-5.268902367,290.2286752,5.364933128,-0.36603747,-1.041191415,-0.306896289,170.7219015,132.2137404,87.52301176,605.6033794,-0.241112913,-0.312553965,61.47722575,9.468107376,0.169743668,20.99112817,-0.511186296,31.10513097,121.9734303,75.23307118,-0.091275444
Z002E0200,#N/A,#N/A,441.9801697,889.4179895,-1.524953597,306.6834291,5.179433739,1.306681477,1.063686603,1.153188799,171.7958732,135.9606295,82.15049519,674.6902704,-0.282789599,-0.5817707,60.79059914,10.49127125,0.171161907,21.06196851,-0.639260233,29.69396579,127.4446385,86.88241499,-0.565840574
Z002E0201,#N/A,#N/A,441.7975188,869.5928024,9.62847449,302.0165659,5.381009132,-0.529703672,-0.40348657,-0.574484269,173.0247732,155.6992426,84.31901848,677.8993572,-0.017986747,0.396075369,62.50029996,9.569070532,0.171277625,23.65001006,0.764930525,35.91719101,126.6577315,87.11864341,0.919527031
Z002E0202,#N/A,#N/A,455.6561004,946.6405222,-13.32189043,372.9609682,5.583006786,0.667539805,0.377560875,0.741221852,183.6735674,144.3483994,94.51034619,667.0294069,0.764131803,0.001967855,61.62107066,9.947816657,0.169368986,22.3220257,0.431189273,31.57412655,137.856016,92.17957519,-0.318181069
Z002E0207,#N/A,#N/A,457.5043907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670.0858523,NA,NA,NA,NA,NA,NA,-0.146803078,29.30154599,120.9293621,84.36828069,-0.741769867
Z002E0217,#N/A,#N/A,457.0005622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669.582883,NA,NA,NA,NA,NA,NA,-0.440218071,29.72978295,115.4839483,80.84949317,-0.4959437
Z002E0271,#N/A,#N/A,462.7945894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669.582883,NA,NA,NA,NA,NA,NA,0.254493546,33.24132601,124.6181909,85.65850277,0.802205721
